"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2026","10,349.90","10,174.94","10,489.14","10,169.30","3.30B","1.70%"
"01/03/2026","10,176.45","10,910.98","10,910.98","9,670.46","24.81B","-6.73%"
"01/02/2026","10,910.55","10,223.72","10,934.94","10,145.36","19.51B","6.72%"
"01/01/2026","10,223.54","9,931.29","10,277.72","9,930.76","16.01B","2.94%"
"01/12/2025","9,931.38","9,720.55","9,954.32","9,622.74","13.99B","2.17%"
"01/11/2025","9,720.51","9,717.26","9,930.09","9,423.90","16.80B","0.03%"
"01/10/2025","9,717.25","9,350.46","9,787.63","9,276.91","16.48B","3.92%"
"01/09/2025","9,350.43","9,187.34","9,363.57","9,107.40","15.83B","1.78%"
"01/08/2025","9,187.34","9,132.81","9,357.51","9,027.94","14.89B","0.60%"
"01/07/2025","9,132.81","8,760.96","9,190.73","8,726.92","16.22B","4.24%"
"01/06/2025","8,760.96","8,772.38","8,902.40","8,707.65","16.09B","-0.13%"
"01/05/2025","8,772.38","8,494.85","8,824.00","8,468.26","18.74B","3.27%"
"01/04/2025","8,494.85","8,582.81","8,671.91","7,544.83","21.43B","-1.02%"
"01/03/2025","8,582.81","8,809.74","8,908.82","8,481.11","20.81B","-2.58%"
"01/02/2025","8,809.74","8,673.96","8,820.93","8,520.20","19.20B","1.57%"
"01/01/2025","8,673.96","8,173.02","8,692.84","8,160.60","18.07B","6.13%"
"01/12/2024","8,173.02","8,287.30","8,388.37","8,002.34","14.58B","-1.38%"
"01/11/2024","8,287.30","8,110.10","8,307.27","7,995.87","17.71B","2.18%"
"01/10/2024","8,110.10","8,236.95","8,395.58","8,071.72","18.65B","-1.54%"
"01/09/2024","8,236.95","8,376.63","8,380.98","8,168.42","16.74B","-1.67%"
"01/08/2024","8,376.63","8,283.36","8,414.37","8,008.23","1.08B","0.10%"
"01/07/2024","8,367.98","8,164.12","8,399.88","8,056.01","16.54B","2.50%"
"01/06/2024","8,164.12","8,275.38","8,371.72","8,112.93","18.58B","-1.34%"
"01/05/2024","8,275.38","8,144.13","8,474.41","8,111.38","21.44B","1.61%"
"01/04/2024","8,144.13","7,952.62","8,199.95","7,793.91","19.99B","2.41%"
"01/03/2024","7,952.62","7,630.02","7,975.38","7,598.47","22.36B","4.23%"
"01/02/2024","7,630.02","7,630.57","7,748.73","7,492.98","21.73B","-0.01%"
"01/01/2024","7,630.57","7,733.24","7,764.37","7,404.08","17.95B","-1.33%"
"01/12/2023","7,733.24","7,453.75","7,762.88","7,453.75","14.84B","3.75%"
"01/11/2023","7,453.75","7,321.72","7,533.77","7,304.89","15.17B","1.80%"
"01/10/2023","7,321.72","7,608.08","7,687.91","7,279.86","15.12B","-3.76%"
"01/09/2023","7,608.08","7,439.13","7,746.53","7,369.64","14.47B","2.27%"
"01/08/2023","7,439.13","7,699.41","7,715.24","7,215.76","15.22B","-3.38%"
"01/07/2023","7,699.41","7,531.53","7,722.92","7,229.57","12.96B","2.23%"
"01/06/2023","7,531.53","7,446.14","7,687.61","7,401.18","15.99B","1.15%"
"01/05/2023","7,446.14","7,870.57","7,898.69","7,446.14","17.58B","-5.39%"
"01/04/2023","7,870.57","7,631.74","7,936.11","7,631.74","13.30B","3.13%"
"01/03/2023","7,631.74","7,876.28","7,974.40","7,206.82","22.22B","-3.10%"
"01/02/2023","7,876.28","7,771.70","8,047.06","7,745.43","16.62B","1.35%"
"01/01/2023","7,771.70","7,451.74","7,875.58","7,448.69","17.09B","4.29%"
"01/12/2022","7,451.74","7,573.05","7,599.70","7,302.82","12.47B","-1.60%"
"01/11/2022","7,573.05","7,094.53","7,599.27","7,076.47","16.73B","6.74%"
"01/10/2022","7,094.53","6,893.81","7,132.85","6,707.62","18.29B","2.91%"
"01/09/2022","6,893.81","7,284.15","7,514.04","6,829.29","21.81B","-5.36%"
"01/08/2022","7,284.15","7,446.01","7,578.85","7,263.62","14.59B","-1.88%"
"01/07/2022","7,423.43","7,169.28","7,441.20","7,007.09","16.84B","3.54%"
"01/06/2022","7,169.28","7,607.66","7,646.66","6,998.17","17.75B","-5.76%"
"01/05/2022","7,607.66","7,544.55","7,648.26","7,158.53","19.91B","0.84%"
"01/04/2022","7,544.55","7,515.68","7,669.56","7,339.53","17.23B","0.38%"
"01/03/2022","7,515.68","7,458.25","7,595.42","6,787.98","27.52B","0.77%"
"01/02/2022","7,458.25","7,464.37","7,687.27","7,204.74","19.69B","-0.08%"
"01/01/2022","7,464.37","7,384.54","7,619.01","7,283.38","17.84B","1.08%"
"01/12/2021","7,384.54","7,059.45","7,457.14","7,059.35","14.28B","4.61%"
"01/11/2021","7,059.45","7,237.57","7,402.68","6,989.66","18.02B","-2.46%"
"01/10/2021","7,237.57","7,086.42","7,281.17","6,945.50","15.35B","2.13%"
"01/09/2021","7,086.42","7,119.70","7,195.62","6,828.28","15.66B","-0.47%"
"01/08/2021","7,119.70","7,032.30","7,224.46","6,993.06","12.39B","1.24%"
"01/07/2021","7,032.30","7,037.47","7,170.60","6,813.03","13.54B","-0.07%"
"01/06/2021","7,037.47","7,022.61","7,217.54","6,948.63","14.95B","0.21%"
"01/05/2021","7,022.61","6,969.81","7,164.18","6,823.60","14.31B","0.76%"
"01/04/2021","6,969.81","6,713.63","7,040.26","6,713.63","13.53B","3.82%"
"01/03/2021","6,713.63","6,483.43","6,812.78","6,483.43","19.56B","3.55%"
"01/02/2021","6,483.43","6,407.46","6,799.92","6,407.46","16.90B","1.19%"
"01/01/2021","6,407.46","6,460.52","6,903.61","6,397.24","15.24B","-0.82%"
"01/12/2020","6,460.52","6,266.19","6,676.60","6,263.60","17.48B","3.10%"
"01/11/2020","6,266.19","5,577.27","6,468.73","5,554.73","23.27B","12.35%"
"01/10/2020","5,577.27","5,866.10","6,040.47","5,525.52","16.27B","-4.92%"
"01/09/2020","5,866.10","5,963.57","6,123.69","5,771.49","16.79B","-1.63%"
"01/08/2020","5,963.57","5,897.76","6,297.20","5,857.06","11.92B","1.12%"
"01/07/2020","5,897.76","6,169.74","6,323.55","5,897.76","16.14B","-4.41%"
"01/06/2020","6,169.74","6,076.60","6,511.84","5,952.44","21.94B","1.53%"
"01/05/2020","6,076.60","5,901.21","6,234.04","5,661.14","20.95B","2.97%"
"01/04/2020","5,901.21","5,671.96","6,151.58","5,395.07","23.75B","4.04%"
"01/03/2020","5,671.96","6,580.61","6,856.27","4,898.79","37.39B","-13.81%"
"01/02/2020","6,580.61","7,286.01","7,547.65","6,460.08","16.54B","-9.68%"
"01/01/2020","7,286.01","7,542.44","7,689.67","7,275.03","13.19B","-3.40%"
"01/12/2019","7,542.44","7,346.53","7,665.40","7,131.16","14.57B","2.67%"
"01/11/2019","7,346.53","7,248.38","7,446.00","7,197.33","14.23B","1.35%"
"01/10/2019","7,248.38","7,408.21","7,433.24","7,004.43","18.28B","-2.16%"
"01/09/2019","7,408.21","7,207.18","7,440.77","7,199.40","15.85B","2.79%"
"01/08/2019","7,207.18","7,586.78","7,609.98","7,020.22","16.06B","-5.00%"
"01/07/2019","7,586.78","7,425.63","7,727.49","7,425.63","14.65B","2.17%"
"01/06/2019","7,425.63","7,161.71","7,469.19","7,079.71","14.52B","3.69%"
"01/05/2019","7,161.71","7,418.22","7,446.46","7,130.85","15.76B","-3.46%"
"01/04/2019","7,418.22","7,279.19","7,528.93","7,279.19","13.70B","1.91%"
"01/03/2019","7,279.19","7,074.73","7,370.61","7,074.73","15.65B","2.89%"
"01/02/2019","7,074.73","6,968.85","7,261.63","6,968.85","13.67B","1.52%"
"01/01/2019","6,968.85","6,728.13","7,001.94","6,599.48","15.44B","3.58%"
"01/12/2018","6,728.13","6,980.24","7,145.49","6,536.53","15.33B","-3.61%"
"01/11/2018","6,980.24","7,128.10","7,196.39","6,904.21","18.83B","-2.07%"
"01/10/2018","7,128.10","7,510.20","7,526.20","6,851.59","19.12B","-5.09%"
"01/09/2018","7,510.20","7,432.42","7,552.02","7,220.50","15.32B","1.05%"
"01/08/2018","7,432.42","7,748.76","7,790.17","7,428.67","15.62B","-4.08%"
"01/07/2018","7,748.76","7,636.93","7,782.90","7,540.71","16.07B","1.46%"
"01/06/2018","7,636.93","7,678.20","7,793.45","7,508.32","20.02B","-0.54%"
"01/05/2018","7,678.20","7,509.30","7,903.50","7,492.39","19.19B","2.25%"
"01/04/2018","7,509.30","7,056.61","7,546.16","6,971.75","16.09B","6.42%"
"01/03/2018","7,056.61","7,231.91","7,254.87","6,866.94","17.62B","-2.42%"
"01/02/2018","7,231.91","7,533.55","7,554.73","7,073.03","17.11B","-4.00%"
"01/01/2018","7,533.55","7,687.77","7,792.56","7,521.77","17.01B","-2.01%"
"01/12/2017","7,687.77","7,326.67","7,697.62","7,288.73","14.16B","4.93%"
"01/11/2017","7,326.67","7,493.08","7,582.85","7,326.67","18.75B","-2.22%"
"01/10/2017","7,493.08","7,372.76","7,565.11","7,372.73","17.74B","1.63%"
"01/09/2017","7,372.76","7,430.62","7,460.52","7,196.58","15.93B","-0.78%"
"01/08/2017","7,430.62","7,372.00","7,551.85","7,289.20","14.95B","0.80%"
"01/07/2017","7,372.00","7,312.72","7,515.12","7,303.46","16.51B","0.81%"
"01/06/2017","7,312.72","7,519.95","7,598.99","7,302.71","19.72B","-2.76%"
"01/05/2017","7,519.95","7,203.94","7,586.45","7,203.94","18.87B","4.39%"
"01/04/2017","7,203.94","7,322.92","7,406.35","7,096.83","16.25B","-1.62%"
"01/03/2017","7,322.92","7,263.44","7,447.00","7,255.78","20.64B","0.82%"
"01/02/2017","7,263.44","7,099.15","7,329.56","7,093.57","16.95B","2.31%"
"01/01/2017","7,099.15","7,142.83","7,354.14","7,099.15","17.90B","-0.61%"
"01/12/2016","7,142.83","6,783.79","7,142.83","6,678.74","15.40B","5.29%"
"01/11/2016","6,783.79","6,954.22","6,997.25","6,676.56","20.47B","-2.45%"
"01/10/2016","6,954.22","6,899.33","7,129.83","6,898.09","19.25B","0.80%"
"01/09/2016","6,899.33","6,781.51","6,941.09","6,654.48","18.67B","1.74%"
"01/08/2016","6,781.51","6,724.43","6,955.34","6,615.83","16.19B","0.85%"
"01/07/2016","6,724.43","6,504.33","6,780.05","6,432.47","19.72B","3.38%"
"01/06/2016","6,504.33","6,230.79","6,504.33","5,788.74","25.47B","4.39%"
"01/05/2016","6,230.79","6,241.89","6,290.07","6,050.21","15.08B","-0.18%"
"01/04/2016","6,241.89","6,174.90","6,427.32","6,061.85","15.84B","1.08%"
"01/03/2016","6,174.90","6,097.09","6,237.02","6,036.70","16.59B","1.28%"
"01/02/2016","6,097.09","6,083.79","6,115.37","5,499.51","19.36B","0.22%"
"01/01/2016","6,083.79","6,242.32","6,242.32","5,639.88","17.94B","-2.54%"
"01/12/2015","6,242.32","6,356.09","6,447.34","5,871.88","13.85B","-1.79%"
"01/11/2015","6,356.09","6,361.09","6,459.46","6,079.79","14.57B","-0.08%"
"01/10/2015","6,361.09","6,061.61","6,487.89","6,051.62","15.69B","4.94%"
"01/09/2015","6,061.61","6,247.94","6,284.17","5,877.08","18.51B","-2.98%"
"01/08/2015","6,247.94","6,696.28","6,764.82","5,768.22","17.67B","-6.70%"
"01/07/2015","6,696.28","6,520.98","6,813.41","6,430.36","15.85B","2.69%"
"01/06/2015","6,520.98","6,984.43","7,037.58","6,520.98","16.46B","-6.64%"
"01/05/2015","6,984.43","6,960.63","7,083.72","6,810.05","15.79B","0.34%"
"01/04/2015","6,960.63","6,773.04","7,122.74","6,765.40","15.08B","2.77%"
"01/03/2015","6,773.04","6,946.66","7,065.08","6,693.80","17.93B","-2.50%"
"01/02/2015","6,946.66","6,749.40","6,967.24","6,731.99","14.79B","2.92%"
"01/01/2015","6,749.40","6,566.09","6,864.97","6,298.15","16.13B","2.79%"
"01/12/2014","6,566.09","6,722.62","6,753.19","6,144.72","14.08B","-2.33%"
"01/11/2014","6,722.62","6,546.47","6,773.14","6,444.89","14.26B","2.69%"
"01/10/2014","6,546.47","6,622.72","6,622.81","6,072.68","20.15B","-1.15%"
"01/09/2014","6,622.72","6,819.75","6,904.86","6,601.62","15.41B","-2.89%"
"01/08/2014","6,819.75","6,730.11","6,831.19","6,528.73","10.85B","1.33%"
"01/07/2014","6,730.11","6,743.94","6,875.31","6,643.62","13.16B","-0.21%"
"01/06/2014","6,743.94","6,844.51","6,878.96","6,701.59","12.69B","-1.47%"
"01/05/2014","6,844.51","6,780.03","6,894.88","6,766.84","13.89B","0.95%"
"01/04/2014","6,780.03","6,598.37","6,794.88","6,507.08","15.48B","2.75%"
"01/03/2014","6,598.37","6,809.70","6,827.22","6,492.62","18.32B","-3.10%"
"01/02/2014","6,809.70","6,510.44","6,866.35","6,416.72","17.27B","4.60%"
"01/01/2014","6,510.44","6,749.09","6,867.42","6,421.26","15.18B","-3.54%"
"01/12/2013","6,749.09","6,650.57","6,768.44","6,422.23","10.80B","1.48%"
"01/11/2013","6,650.57","6,731.43","6,780.11","6,613.98","12.58B","-1.20%"
"01/10/2013","6,731.43","6,462.22","6,819.86","6,316.91","14.04B","4.17%"
"01/09/2013","6,462.22","6,412.93","6,659.12","6,412.93","15.31B","0.77%"
"01/08/2013","6,412.93","6,621.06","6,696.63","6,386.72","13.68B","-3.14%"
"01/07/2013","6,621.06","6,215.47","6,662.19","6,185.21","14.67B","6.53%"
"01/06/2013","6,215.47","6,583.09","6,583.09","6,023.44","15.91B","-5.58%"
"01/05/2013","6,583.09","6,430.12","6,875.62","6,409.81","15.76B","2.38%"
"01/04/2013","6,430.12","6,411.74","6,501.78","6,214.36","14.32B","0.29%"
"01/03/2013","6,411.74","6,360.81","6,533.99","6,308.56","15.79B","0.80%"
"01/02/2013","6,360.81","6,276.88","6,412.44","6,216.72","14.13B","1.34%"
"01/01/2013","6,276.88","5,897.81","6,354.46","5,897.81","14.22B","6.43%"
"01/12/2012","5,897.81","5,866.82","5,997.04","5,852.88","10.07B","0.53%"
"01/11/2012","5,866.82","5,782.70","5,921.78","5,605.59","16.16B","1.45%"
"01/10/2012","5,782.70","5,742.07","5,928.27","5,738.59","16.34B","0.71%"
"01/09/2012","5,742.07","5,711.48","5,932.62","5,634.88","16.52B","0.54%"
"01/08/2012","5,711.48","5,635.28","5,876.22","5,632.97","13.45B","1.35%"
"01/07/2012","5,635.28","5,571.15","5,727.45","5,478.02","14.71B","1.15%"
"01/06/2012","5,571.15","5,320.86","5,623.85","5,229.76","18.24B","4.70%"
"01/05/2012","5,320.86","5,737.78","5,819.93","5,253.92","19.82B","-7.27%"
"01/04/2012","5,737.78","5,768.45","5,890.16","5,576.37","17.51B","-0.53%"
"01/03/2012","5,768.45","5,871.51","5,989.07","5,726.50","21.19B","-1.76%"
"01/02/2012","5,871.51","5,681.61","5,964.02","5,680.67","19.08B","3.34%"
"01/01/2012","5,681.61","5,572.28","5,806.24","5,572.28","19.75B","1.96%"
"01/12/2011","5,572.28","5,505.42","5,631.88","5,328.67","14.85B","1.21%"
"01/11/2011","5,505.42","5,544.22","5,616.00","5,075.22","21.15B","-0.70%"
"01/10/2011","5,544.22","5,128.48","5,747.33","4,868.60","17.96B","8.11%"
"01/09/2011","5,128.48","5,394.53","5,449.67","4,928.14","20.70B","-4.93%"
"01/08/2011","5,394.53","5,815.19","5,913.46","4,791.01","25.91B","-7.23%"
"01/07/2011","5,815.19","5,945.71","6,084.08","5,752.81","17.01B","-2.20%"
"01/06/2011","5,945.71","5,989.99","5,995.22","5,644.38","19.03B","-0.74%"
"01/05/2011","5,989.99","6,069.90","6,103.73","5,810.46","17.88B","-1.32%"
"01/04/2011","6,069.90","5,908.76","6,091.75","5,858.32","12.95B","2.73%"
"01/03/2011","5,908.76","5,994.01","6,052.08","5,591.59","19.74B","-1.42%"
"01/02/2011","5,994.01","5,862.94","6,105.77","5,860.95","16.98B","2.24%"
"01/01/2011","5,862.94","5,899.94","6,090.49","5,815.44","17.84B","-0.63%"
"01/12/2010","5,899.94","5,528.27","6,021.46","5,528.27","13.81B","6.72%"
"01/11/2010","5,528.27","5,675.16","5,902.11","5,519.19","19.37B","-2.59%"
"01/10/2010","5,675.16","5,548.62","5,794.31","5,547.55","16.94B","2.28%"
"01/09/2010","5,548.62","5,225.22","5,650.33","5,225.22","17.87B","6.19%"
"01/08/2010","5,225.22","5,258.02","5,418.58","5,070.94","18.21B","-0.62%"
"01/07/2010","5,258.02","4,916.87","5,411.45","4,790.04","20.93B","6.94%"
"01/06/2010","4,916.87","5,188.43","5,331.46","4,898.51","24.40B","-5.23%"
"01/05/2010","5,188.43","5,553.29","5,565.99","4,898.49","30.62B","-6.57%"
"01/04/2010","5,553.29","5,679.64","5,833.73","5,533.60","21.10B","-2.22%"
"01/03/2010","5,679.64","5,354.52","5,742.75","5,354.52","25.03B","6.07%"
"01/02/2010","5,354.52","5,188.52","5,395.48","5,033.01","25.45B","3.20%"
"01/01/2010","5,188.52","5,412.88","5,600.48","5,145.74","22.41B","-4.14%"
"01/12/2009","5,412.88","5,190.68","5,445.17","5,175.66","20.44B","4.28%"
"01/11/2009","5,190.68","5,044.55","5,396.96","4,985.09","21.82B","2.90%"
"01/10/2009","5,044.55","5,133.90","5,299.57","4,954.98","24.45B","-1.74%"
"01/09/2009","5,133.90","4,908.90","5,190.00","4,776.50","22.52B","4.58%"
"01/08/2009","4,908.90","4,608.36","4,944.16","4,595.58","20.62B","6.52%"
"01/07/2009","4,608.36","4,249.21","4,646.86","4,096.08","22.71B","8.45%"
"01/06/2009","4,249.21","4,417.94","4,517.60","4,213.40","25.38B","-3.82%"
"01/05/2009","4,417.94","4,243.71","4,520.82","4,210.75","22.93B","4.11%"
"01/04/2009","4,243.71","3,926.14","4,293.63","3,838.22","25.14B","8.09%"
"01/03/2009","3,926.14","3,830.09","3,992.42","3,460.71","32.52B","2.51%"
"01/02/2009","3,830.09","4,149.64","4,333.97","3,760.70","24.62B","-7.70%"
"01/01/2009","4,149.64","4,434.17","4,675.68","3,956.67","27.43B","-6.42%"
"01/12/2008","4,434.17","4,288.01","4,456.19","3,973.26","20.07B","3.41%"
"01/11/2008","4,288.01","4,377.34","4,639.50","3,734.07","26.77B","-2.04%"
"01/10/2008","4,377.34","4,902.50","5,052.00","3,665.21","39.42B","-10.71%"
"01/09/2008","4,902.45","5,636.60","5,646.50","4,671.00","34.05B","-13.02%"
"01/08/2008","5,636.61","5,411.90","5,649.10","5,299.70","23.50B","4.15%"
"01/07/2008","5,411.90","5,625.90","5,625.90","5,071.10","38.13B","-3.80%"
"01/06/2008","5,625.90","6,053.50","6,074.50","5,470.90","30.96B","-7.06%"
"01/05/2008","6,053.50","6,087.30","6,377.00","6,041.10","23.31B","-0.56%"
"01/04/2008","6,087.30","5,702.10","6,134.50","5,670.40","25.27B","6.76%"
"01/03/2008","5,702.11","5,884.30","5,884.30","5,414.40","30.22B","-3.10%"
"01/02/2008","5,884.28","5,879.80","6,104.50","5,681.50","28.41B","0.08%"
"01/01/2008","5,879.78","6,456.90","6,534.70","5,338.70","34.40B","-8.94%"
"01/12/2007","6,456.91","6,432.50","6,610.90","6,251.80","19.60B","0.38%"
"01/11/2007","6,432.45","6,721.60","6,723.70","6,026.90","32.52B","-4.30%"
"01/10/2007","6,721.57","6,466.80","6,751.70","6,413.40","41.48B","3.94%"
"01/09/2007","6,466.79","6,303.30","6,512.40","6,123.10","35.73B","2.59%"
"01/08/2007","6,303.30","6,360.10","6,406.30","5,821.70","38.48B","-0.89%"
"01/07/2007","6,360.11","6,607.90","6,754.10","6,186.20","38.49B","-3.75%"
"01/06/2007","6,607.90","6,621.40","6,751.30","6,451.40","39.62B","-0.20%"
"01/05/2007","6,621.45","6,449.20","6,675.00","6,395.50","40.05B","2.67%"
"01/04/2007","6,449.21","6,308.00","6,516.20","6,293.90","31.55B","2.24%"
"01/03/2007","6,308.03","6,171.50","6,355.30","5,989.60","40.66B","2.21%"
"01/02/2007","6,171.47","6,203.10","6,451.40","6,166.20","33.11B","-0.51%"
"01/01/2007","6,203.09","6,220.80","6,335.10","6,130.20","36.90B","-0.28%"
"01/12/2006","6,220.81","6,048.80","6,271.40","5,985.20","25.40B","2.84%"
"01/11/2006","6,048.85","6,129.20","6,256.80","6,011.80","35.41B","-1.31%"
"01/10/2006","6,129.22","5,960.80","6,244.60","5,897.30","34.76B","2.83%"
"01/09/2006","5,960.81","5,906.10","6,002.90","5,774.50","31.84B","0.93%"
"01/08/2006","5,906.13","5,928.30","5,949.80","5,752.60","29.78B","-0.37%"
"01/07/2006","5,928.33","5,833.40","5,982.50","5,654.60","28.21B","1.63%"
"01/06/2006","5,833.42","5,723.80","5,865.70","5,467.40","36.02B","1.91%"
"01/05/2006","5,723.81","6,023.10","6,133.50","5,510.50","40.05B","-4.97%"
"01/04/2006","6,023.14","5,964.60","6,137.10","5,964.60","30.78B","0.98%"
"01/03/2006","5,964.57","5,791.50","6,047.00","5,783.90","44.16B","2.99%"
"01/02/2006","5,791.54","5,760.30","5,893.30","5,681.90","37.36B","0.54%"
"01/01/2006","5,760.26","5,618.80","5,796.10","5,618.80","39.16B","2.52%"
"01/12/2005","5,618.76","5,423.20","5,647.20","5,423.20","28.94B","3.61%"
"01/11/2005","5,423.17","5,317.30","5,554.90","5,304.90","39.10B","1.99%"
"01/10/2005","5,317.28","5,477.70","5,515.00","5,130.90","34.39B","-2.93%"
"01/09/2005","5,477.71","5,296.90","5,508.40","5,296.90","32.55B","3.41%"
"01/08/2005","5,296.92","5,282.30","5,386.40","5,228.10","28.55B","0.28%"
"01/07/2005","5,282.30","5,113.20","5,308.60","5,022.10","35.91B","3.31%"
"01/06/2005","5,113.16","4,964.00","5,138.20","4,964.00","33.01B","3.01%"
"01/05/2005","4,963.97","4,801.70","5,004.30","4,801.70","30.84B","3.38%"
"01/04/2005","4,801.68","4,894.40","4,994.10","4,773.70","32.55B","-1.89%"
"01/03/2005","4,894.37","4,968.50","5,042.00","4,886.50","34.74B","-1.49%"
"01/02/2005","4,968.50","4,852.30","5,077.80","4,852.30","33.00B","2.39%"
"01/01/2005","4,852.31","4,814.30","4,879.50","4,765.40","31.49B","0.79%"
"01/12/2004","4,814.30","4,703.20","4,826.20","4,675.00","28.45B","2.36%"
"01/11/2004","4,703.18","4,624.20","4,823.80","4,624.20","33.89B","1.71%"
"01/10/2004","4,624.21","4,570.80","4,732.90","4,551.60","32.88B","1.17%"
"01/09/2004","4,570.77","4,459.30","4,630.70","4,459.30","35.56B","2.50%"
"01/08/2004","4,459.32","4,413.10","4,490.10","4,283.00","28.68B","1.05%"
"01/07/2004","4,413.08","4,464.10","4,487.90","4,283.20","34.56B","-1.14%"
"01/06/2004","4,464.07","4,430.70","4,535.10","4,400.70","33.64B","0.75%"
"01/05/2004","4,430.69","4,489.70","4,573.70","4,363.00","32.74B","-1.31%"
"01/04/2004","4,489.69","4,385.70","4,601.60","4,385.10","32.76B","2.37%"
"01/03/2004","4,385.67","4,492.20","4,566.20","4,291.30","42.62B","-2.37%"
"01/02/2004","4,492.21","4,390.70","4,556.90","4,357.40","40.25B","2.31%"
"01/01/2004","4,390.68","4,476.90","4,531.40","4,390.70","39.87B","-1.93%"
"01/12/2003","4,476.87","4,342.60","4,491.80","4,312.50","29.99B","3.09%"
"01/11/2003","4,342.60","4,287.60","4,423.60","4,270.50","34.78B","1.28%"
"01/10/2003","4,287.59","4,091.30","4,393.80","4,091.30","40.57B","4.80%"
"01/09/2003","4,091.31","4,161.10","4,329.60","4,081.80","40.70B","-1.68%"
"01/08/2003","4,161.06","4,157.00","4,286.90","4,044.90","29.67B","0.10%"
"01/07/2003","4,157.00","4,031.20","4,183.00","3,951.50","","3.12%"
"01/06/2003","4,031.20","4,048.10","4,218.80","4,021.60","","-0.42%"
"01/05/2003","4,048.10","3,926.00","4,096.00","3,875.30","","3.11%"
"01/04/2003","3,926.00","3,613.30","3,997.30","3,612.30","","8.65%"
"01/03/2003","3,613.30","3,655.60","3,881.70","3,277.50","","-1.16%"
"01/02/2003","3,655.60","3,567.40","3,747.00","3,535.10","","2.47%"
"01/01/2003","3,567.40","3,940.40","4,027.60","3,391.50","","-9.47%"
"01/12/2002","3,940.40","4,169.40","4,218.60","3,803.40","","-5.49%"
"01/11/2002","4,169.40","4,039.70","4,224.80","3,953.30","","3.21%"
"01/10/2002","4,039.70","3,721.80","4,197.50","3,663.40","","8.54%"
"01/09/2002","3,721.80","4,227.30","4,246.40","3,609.90","","-11.96%"
"01/08/2002","4,227.30","4,246.20","4,466.40","3,900.70","","-0.45%"
"01/07/2002","4,246.20","4,656.40","4,708.70","3,625.90","","-8.81%"
"01/06/2002","4,656.40","5,085.10","5,085.10","4,442.90","","-8.43%"
"01/05/2002","5,085.10","5,165.60","5,282.20","5,016.90","","-1.56%"
"01/04/2002","5,165.60","5,271.80","5,292.30","5,116.00","","-2.01%"
"01/03/2002","5,271.80","5,101.00","5,331.60","5,101.00","","3.35%"
"01/02/2002","5,101.00","5,164.80","5,238.00","5,015.50","","-1.24%"
"01/01/2002","5,164.80","5,217.40","5,362.30","5,052.80","","-1.01%"
"01/12/2001","5,217.40","5,203.60","5,411.20","5,032.30","","0.27%"
"01/11/2001","5,203.60","5,039.70","5,383.20","4,988.30","","3.25%"
"01/10/2001","5,039.70","4,903.40","5,279.80","4,730.70","","2.78%"
"01/09/2001","4,903.40","5,345.00","5,379.60","4,219.80","","-8.26%"
"01/08/2001","5,345.00","5,529.10","5,644.20","5,286.70","","-3.33%"
"01/07/2001","5,529.10","5,642.50","5,726.10","5,260.50","","-2.01%"
"01/06/2001","5,642.50","5,796.10","5,981.80","5,519.60","","-2.65%"
"01/05/2001","5,796.10","5,966.90","5,993.70","5,690.50","","-2.86%"
"01/04/2001","5,966.90","5,633.70","5,995.40","5,354.30","","5.91%"
"01/03/2001","5,633.70","5,917.90","6,050.40","5,279.60","","-4.80%"
"01/02/2001","5,917.90","6,297.50","6,309.90","5,901.70","","-6.03%"